tour,course_id,club_id_1,club_level_1,club_id_2_new,club_level_2_new,sampleCnt
6,204800,19,4,26,1,19
6,204800,19,3,28,5,19
6,204800,19,4,20,3,18
6,204800,19,1,2,1,18
6,204800,19,2,28,4,18
6,204800,19,8,0,0,18
6,204800,13,3,20,4,18
6,204800,13,2,20,2,17
6,204800,19,1,8,2,17
6,204800,13,1,20,3,17
6,204800,19,10,0,0,16
6,204800,13,2,28,1,16
6,204800,37,6,0,0,16
6,204800,37,1,38,1,16
6,204800,19,4,20,4,16
6,204800,13,4,26,2,16
6,204800,7,6,28,5,16
6,204800,7,3,28,1,15
6,204800,13,3,8,4,15
6,204800,7,6,28,4,15
6,204800,19,2,8,1,15
6,204800,13,3,28,6,14
6,204800,19,2,8,2,14
6,204800,19,5,8,3,14
6,204800,13,3,20,5,14
6,204800,13,3,26,3,13
6,204800,19,1,20,2,13
6,204800,7,4,0,0,13
6,204800,13,2,20,5,13
6,204800,13,1,8,3,13
6,204800,19,2,26,2,12
6,204800,19,2,28,5,12
6,204800,37,1,8,4,12
6,204800,19,3,20,4,12
6,204800,7,1,28,1,12
6,204800,19,5,26,3,12
6,204800,13,3,20,3,12
6,204800,13,3,28,3,12
6,204800,19,4,8,4,12
6,204800,49,6,0,0,11
6,204800,13,1,20,4,11
6,204800,13,2,2,1,11
6,204800,37,1,28,4,11
6,204800,19,5,28,5,11
6,204800,7,4,28,4,11
6,204800,19,2,26,1,10
6,204800,37,2,38,1,10
6,204800,19,1,28,5,10
6,204800,7,5,28,5,10
6,204800,19,1,28,2,10
6,204800,19,1,26,1,10
6,204800,37,1,8,1,10
6,204800,19,4,26,3,10
6,204800,13,2,8,4,10
6,204800,19,5,26,1,9
6,204800,13,4,28,5,9
6,204800,19,1,26,2,9
6,204800,7,5,28,3,9
6,204800,49,3,26,2,9
6,204800,19,4,28,3,9
6,204800,19,4,20,5,8
6,204800,7,7,28,5,8
6,204800,7,1,2,1,8
6,204800,13,2,28,6,8
6,204800,13,4,20,5,8
6,204800,19,1,20,1,8
6,204800,7,6,8,2,8
6,204800,13,4,8,4,7
6,204800,19,4,28,1,7
6,204800,13,4,28,6,7
6,204800,13,4,26,1,7
6,204800,19,3,28,3,7
6,204800,19,5,28,4,7
6,204800,19,3,28,2,7
6,204800,37,1,20,5,7
6,204800,19,3,20,3,7
6,204800,7,8,0,0,7
6,204800,37,1,20,4,7
6,204800,13,3,20,2,7
6,204800,19,5,20,4,7
6,204800,19,2,28,1,7
6,204800,19,1,8,3,6
6,204800,13,4,28,4,6
6,204800,7,2,28,1,6
6,204800,19,5,8,1,6
6,204800,19,3,2,1,6
6,204800,19,6,8,3,6
6,204800,19,3,8,4,6
6,204800,7,4,28,3,6
6,204800,19,5,20,5,6
6,204800,19,2,20,3,6
6,204800,19,3,28,1,6
6,204800,19,6,8,4,6
6,204800,37,2,26,2,5
6,204800,19,3,26,3,5
6,204800,19,3,28,6,5
6,204800,19,6,26,3,5
6,204800,7,4,28,2,5
6,204800,7,6,8,1,5
6,204800,7,2,2,1,5
6,204800,7,2,0,0,5
6,204800,37,2,38,2,5
6,204800,7,1,0,0,5
6,204800,13,1,26,3,5
6,204800,13,2,20,1,5
6,204800,37,1,28,6,5
6,204800,19,3,20,5,5
6,204800,13,4,26,3,5
6,204800,19,2,28,3,5
6,204800,37,1,26,5,5
6,204800,19,6,20,5,5
6,204800,7,6,26,2,4
6,204800,37,2,26,5,4
6,204800,13,3,28,2,4
6,204800,19,4,28,2,4
6,204800,7,8,28,6,4
6,204800,37,1,20,3,4
6,204800,19,2,28,2,4
6,204800,37,2,26,3,4
6,204800,19,6,28,4,4
6,204800,37,1,8,5,4
6,204800,7,7,20,4,4
6,204800,7,6,28,3,4
6,204800,19,5,28,3,4
6,204800,7,7,28,6,4
6,204800,13,3,28,1,4
6,204800,7,7,28,4,4
6,204800,7,7,20,5,4
6,204800,7,3,28,3,4
6,204800,7,6,20,3,4
6,204800,37,2,20,6,4
6,204800,7,6,28,2,4
6,204800,7,6,20,4,4
6,204800,7,9,28,6,3
6,204800,49,2,0,0,3
6,204800,19,1,26,3,3
6,204800,13,5,28,5,3
6,204800,13,5,8,4,3
6,204800,37,2,8,3,3
6,204800,7,7,8,3,3
6,204800,7,3,28,2,3
6,204800,13,5,26,3,3
6,204800,13,3,26,4,3
6,204800,7,4,2,1,3
6,204800,13,4,28,1,3
6,204800,7,4,28,5,3
6,204800,19,5,28,1,3
6,204800,37,1,28,3,3
6,204800,7,4,8,2,3
6,204800,49,7,0,0,3
6,204800,19,6,26,2,3
6,204800,19,2,20,4,3
6,204800,13,4,20,3,3
6,204800,37,1,20,2,3
6,204800,19,6,28,6,3
6,204800,13,4,8,5,3
6,204800,7,5,28,1,3
6,204800,19,6,38,1,3
6,204800,7,5,8,2,3
6,204800,7,5,2,1,3
6,204800,37,1,28,1,2
6,204800,7,5,20,4,2
6,204800,19,6,26,1,2
6,204800,7,5,20,5,2
6,204800,19,6,20,6,2
6,204800,19,5,8,4,2
6,204800,19,5,20,3,2
6,204800,7,5,20,2,2
6,204800,19,6,20,7,2
6,204800,37,1,20,1,2
6,204800,7,5,20,1,2
6,204800,7,8,28,5,2
6,204800,7,4,20,1,2
6,204800,7,4,20,4,2
6,204800,19,7,26,2,2
6,204800,7,4,28,1,2
6,204800,19,5,28,6,2
6,204800,7,7,26,2,2
6,204800,7,4,20,3,2
6,204800,19,5,20,2,2
6,204800,7,3,2,1,2
6,204800,7,3,0,0,2
6,204800,7,7,28,1,2
6,204800,7,6,28,1,2
6,204800,19,4,2,1,2
6,204800,7,2,20,1,2
6,204800,7,2,28,2,2
6,204800,7,9,0,0,2
6,204800,13,1,28,6,2
6,204800,7,5,26,2,2
6,204800,37,1,28,7,2
6,204800,13,1,8,4,2
6,204800,13,3,28,7,2
6,204800,37,1,26,4,2
6,204800,49,9,8,5,2
6,204800,37,1,20,6,2
6,204800,49,5,26,2,2
6,204800,37,2,8,2,2
6,204800,19,2,20,2,2
6,204800,37,2,26,4,2
6,204800,19,2,8,3,2
6,204800,49,4,20,3,2
6,204800,49,4,28,5,2
6,204800,49,4,26,2,2
6,204800,37,2,28,5,2
6,204800,19,2,2,1,2
6,204800,49,3,8,2,2
6,204800,13,4,8,1,2
6,204800,13,4,38,1,2
6,204800,49,1,28,1,2
6,204800,13,5,8,3,2
6,204800,13,5,20,6,2
6,204800,49,2,8,2,2
6,204800,13,5,26,1,2
6,204800,13,5,26,4,2
6,204800,13,5,28,6,2
6,204800,49,2,2,1,1
6,204800,13,5,8,1,1
6,204800,13,5,26,2,1
6,204800,13,5,50,1,1
6,204800,13,5,28,1,1
6,204800,49,2,28,2,1
6,204800,49,2,28,4,1
6,204800,7,8,26,3,1
6,204800,13,5,20,5,1
6,204800,13,5,28,3,1
6,204800,13,5,2,1,1
6,204800,13,6,8,5,1
6,204800,13,6,0,0,1
6,204800,49,2,28,1,1
6,204800,49,2,8,1,1
6,204800,49,3,28,4,1
6,204800,49,3,26,1,1
6,204800,49,3,26,5,1
6,204800,49,2,20,5,1
6,204800,49,1,0,0,1
6,204800,13,4,28,7,1
6,204800,13,4,20,1,1
6,204800,49,1,28,2,1
6,204800,13,4,20,4,1
6,204800,13,3,2,1,1
6,204800,49,3,20,5,1
6,204800,49,3,28,1,1
6,204800,37,3,26,5,1
6,204800,49,3,20,1,1
6,204800,49,3,28,2,1
6,204800,37,2,8,1,1
6,204800,49,3,20,3,1
6,204800,49,3,20,2,1
6,204800,37,2,20,2,1
6,204800,37,2,8,4,1
6,204800,49,4,28,4,1
6,204800,49,4,8,2,1
6,204800,37,2,20,7,1
6,204800,19,2,8,4,1
6,204800,49,4,26,1,1
6,204800,49,4,8,3,1
6,204800,19,2,28,6,1
6,204800,49,4,8,1,1
6,204800,49,5,28,7,1
6,204800,19,2,20,5,1
6,204800,19,2,26,3,1
6,204800,37,2,26,6,1
6,204800,37,2,8,5,1
6,204800,19,2,20,1,1
6,204800,37,1,28,2,1
6,204800,49,5,20,4,1
6,204800,49,5,26,1,1
6,204800,49,6,20,5,1
6,204800,49,6,8,3,1
6,204800,37,1,50,3,1
6,204800,13,3,38,1,1
6,204800,19,3,20,1,1
6,204800,13,3,20,1,1
6,204800,13,3,20,6,1
6,204800,7,6,26,3,1
6,204800,19,4,20,6,1
6,204800,7,6,20,2,1
6,204800,7,6,8,3,1
6,204800,13,3,50,5,1
6,204800,19,6,26,4,1
6,204800,19,4,28,6,1
6,204800,7,5,20,3,1
6,204800,7,5,26,3,1
6,204800,19,4,20,2,1
6,204800,10,3,0,0,1
6,204800,10,2,20,6,1
6,204800,10,2,28,4,1
6,204800,7,1,28,2,1
6,204800,10,1,0,0,1
6,204800,7,1,8,1,1
6,204800,7,1,8,2,1
6,204800,25,5,20,1,1
6,204800,7,2,28,4,1
6,204800,7,2,14,1,1
6,204800,19,4,26,4,1
6,204800,7,6,26,1,1
6,204800,25,5,0,0,1
6,204800,7,2,26,1,1
6,204800,7,6,20,5,1
6,204800,25,4,50,5,1
6,204800,7,6,2,1,1
6,204800,25,3,26,3,1
6,204800,7,3,20,2,1
6,204800,25,2,8,2,1
6,204800,25,1,28,5,1
6,204800,7,3,28,4,1
6,204800,7,3,8,1,1
6,204800,7,7,26,1,1
6,204800,19,7,28,5,1
6,204800,7,7,8,2,1
6,204800,7,7,28,7,1
6,204800,7,7,20,3,1
6,204800,7,7,20,2,1
6,204800,19,7,26,5,1
6,204800,19,7,28,1,1
6,204800,7,4,8,3,1
6,204800,7,4,8,1,1
6,204800,7,7,2,1,1
6,204800,7,4,26,2,1
6,204800,19,7,8,4,1
6,204800,19,7,20,2,1
6,204800,7,8,26,1,1
6,204800,7,5,28,2,1
6,204800,19,7,38,1,1
6,204800,7,9,8,5,1
6,204800,7,8,20,3,1
6,204800,7,8,8,2,1
6,204800,19,5,38,1,1
6,204800,19,6,8,5,1
6,204800,19,6,28,5,1
6,204800,19,6,8,2,1
6,204800,19,6,8,1,1
6,204800,7,5,26,1,1
6,204800,7,5,8,1,1
11,108400,37,6,63,5,3512
11,108400,37,6,0,0,1653
11,108400,37,5,0,0,976
11,108400,37,3,0,0,941
11,108400,37,4,0,0,711
11,108400,37,7,0,0,495
11,108400,31,9,0,0,438
11,108400,37,6,63,6,333
11,108400,37,5,63,5,237
11,108400,37,2,0,0,100
11,108400,37,5,63,4,76
11,108400,37,5,38,5,76
11,108400,31,8,0,0,73
11,108400,37,7,38,6,73
11,108400,31,9,63,5,56
11,108400,31,11,0,0,54
11,108400,31,10,0,0,46
11,108400,31,6,0,0,44
11,108400,37,7,63,6,38
11,108400,31,8,63,4,37
11,108400,37,6,38,6,37
11,108400,31,8,63,3,33
11,108400,31,9,63,4,32
11,108400,13,6,0,0,30
11,108400,37,8,0,0,30
11,108400,64,5,63,5,27
11,108400,31,5,0,0,27
11,108400,37,4,63,4,21
11,108400,13,8,0,0,20
11,108400,37,6,38,5,20
11,108400,31,10,63,5,19
11,108400,37,7,63,7,19
11,108400,31,7,0,0,18
11,108400,64,5,63,6,13
11,108400,31,5,32,5,12
11,108400,13,6,32,5,12
11,108400,31,10,26,10,11
11,108400,31,6,26,6,11
11,108400,31,7,63,3,11
11,108400,31,8,63,5,11
11,108400,13,9,0,0,11
11,108400,31,8,38,4,10
11,108400,31,7,63,2,10
11,108400,37,5,63,3,10
11,108400,13,5,0,0,9
11,108400,31,6,32,5,8
11,108400,19,8,32,5,8
11,108400,31,9,63,6,8
11,108400,31,10,63,6,8
11,108400,31,6,32,6,8
11,108400,31,7,26,7,8
11,108400,101,16,0,0,7
11,108400,13,5,32,5,7
11,108400,10,6,0,0,7
11,108400,31,8,50,11,6
11,108400,64,4,0,0,6
11,108400,31,7,32,7,6
11,108400,31,6,63,2,6
11,108400,31,7,38,2,6
11,108400,13,7,0,0,6
11,108400,37,5,38,4,6
11,108400,37,4,63,3,6
11,108400,37,3,63,3,6
11,108400,37,4,26,8,5
11,108400,10,11,0,0,5
11,108400,37,2,63,2,5
11,108400,19,7,32,5,5
11,108400,31,5,32,6,5
11,108400,31,9,38,5,5
11,108400,13,6,32,6,5
11,108400,19,9,0,0,5
11,108400,64,5,0,0,5
11,108400,13,7,32,6,4
11,108400,31,6,38,2,4
11,108400,37,2,32,6,4
11,108400,37,5,63,6,4
11,108400,37,1,32,6,4
11,108400,31,7,38,4,4
11,108400,37,7,38,7,4
11,108400,19,8,32,6,4
11,108400,10,6,32,6,4
11,108400,31,8,38,5,4
11,108400,31,6,26,5,4
11,108400,10,9,0,0,3
11,108400,31,8,26,7,3
11,108400,37,2,32,5,3
11,108400,10,7,0,0,3
11,108400,37,3,32,7,3
11,108400,19,9,32,6,3
11,108400,37,3,63,2,3
11,108400,37,3,32,6,3
11,108400,31,7,32,6,3
11,108400,31,4,0,0,3
11,108400,31,8,26,8,3
11,108400,37,5,38,6,3
11,108400,37,5,26,8,3
11,108400,31,8,38,3,3
11,108400,31,7,63,4,3
11,108400,19,10,0,0,3
11,108400,31,7,26,6,2
11,108400,37,6,63,4,2
11,108400,31,7,8,7,2
11,108400,37,5,26,9,2
11,108400,37,4,38,4,2
11,108400,13,8,32,7,2
11,108400,10,5,0,0,2
11,108400,19,11,0,0,2
11,108400,37,3,63,4,2
11,108400,31,9,38,4,2
11,108400,37,7,63,5,2
11,108400,37,3,26,6,2
11,108400,31,8,32,8,2
11,108400,101,15,63,4,2
11,108400,13,7,63,3,2
11,108400,31,5,32,4,2
11,108400,31,6,63,1,2
11,108400,31,10,38,5,2
11,108400,101,15,0,0,2
11,108400,31,10,38,6,2
11,108400,19,9,32,7,2
11,108400,31,11,63,6,2
11,108400,37,2,63,3,2
11,108400,31,11,63,5,2
11,108400,13,7,63,1,2
11,108400,37,1,0,0,2
11,108400,13,7,50,9,2
11,108400,37,1,32,4,2
11,108400,37,1,32,5,2
11,108400,37,1,63,1,1
11,108400,37,1,32,3,1
11,108400,37,1,26,5,1
11,108400,13,7,32,7,1
11,108400,37,2,26,5,1
11,108400,13,7,32,5,1
11,108400,31,11,38,6,1
11,108400,37,2,32,7,1
11,108400,37,2,26,6,1
11,108400,19,11,26,9,1
11,108400,37,2,63,1,1
11,108400,13,6,26,6,1
11,108400,37,3,26,7,1
11,108400,13,6,63,2,1
11,108400,31,9,26,9,1
11,108400,31,9,102,12,1
11,108400,31,9,32,9,1
11,108400,13,6,26,5,1
11,108400,19,12,0,0,1
11,108400,13,7,26,7,1
11,108400,31,6,38,3,1
11,108400,31,5,63,1,1
11,108400,37,4,32,8,1
11,108400,31,4,26,5,1
11,108400,31,9,63,3,1
11,108400,31,6,26,4,1
11,108400,13,9,32,7,1
11,108400,31,8,38,2,1
11,108400,19,5,32,5,1
11,108400,31,6,38,1,1
11,108400,19,6,32,4,1
11,108400,19,7,63,1,1
11,108400,31,8,63,1,1
11,108400,19,7,32,4,1
11,108400,31,8,26,9,1
11,108400,37,5,32,9,1
11,108400,13,5,26,6,1
11,108400,10,4,32,4,1
11,108400,31,7,26,5,1
11,108400,19,7,0,0,1
11,108400,10,4,0,0,1
11,108400,19,7,32,6,1
11,108400,10,5,26,5,1
11,108400,13,5,32,4,1
11,108400,13,5,50,7,1
11,108400,19,7,8,6,1
11,108400,19,8,0,0,1
11,108400,19,8,63,2,1
11,108400,31,7,63,1,1
11,108400,55,5,32,6,1
11,108400,64,2,63,3,1
11,108400,64,3,0,0,1
11,108400,19,8,50,8,1
11,108400,64,4,63,4,1
11,108400,64,5,38,5,1
11,108400,10,6,26,6,1
11,108400,10,6,8,6,1
11,108400,19,9,26,7,1
11,108400,64,5,38,6,1
11,108400,101,4,0,0,1
11,108400,101,14,32,8,1
11,108400,101,15,38,6,1
11,108400,10,7,26,8,1
11,108400,10,7,26,6,1
11,108400,101,16,63,6,1
11,108400,10,8,26,8,1
11,108400,101,16,63,5,1
11,108400,101,16,63,4,1
11,108400,19,10,26,7,1
11,107900,31,5,26,6,2856284
11,107900,37,7,63,6,16684
11,107900,37,7,0,0,9376
11,107900,31,5,26,5,6380
11,107900,37,2,26,5,5794
11,107900,13,6,32,6,3160
11,107900,37,1,26,4,2778
11,107900,37,1,26,5,2056
11,107900,13,6,26,5,1852
11,107900,37,2,8,6,1372
11,107900,37,5,63,5,1181
11,107900,37,2,26,6,1179
11,107900,31,6,26,6,1160
11,107900,19,7,26,4,989
11,107900,37,6,0,0,884
11,107900,13,5,26,4,800
11,107900,37,4,38,4,752
11,107900,37,4,63,4,737
11,107900,13,5,26,5,725
11,107900,31,5,26,4,713
11,107900,37,6,63,6,688
11,107900,19,8,26,5,688
11,107900,19,7,26,5,663
11,107900,37,5,63,4,611
11,107900,37,6,63,5,548
11,107900,37,3,63,3,547
11,107900,31,6,26,5,444
11,107900,13,6,26,4,424
11,107900,37,4,63,3,417
11,107900,37,2,63,2,401
11,107900,37,1,26,3,397
11,107900,37,2,38,2,390
11,107900,31,4,26,4,385
11,107900,13,6,26,6,377
11,107900,37,1,38,1,367
11,107900,19,6,26,4,359
11,107900,37,1,26,6,342
11,107900,37,2,26,4,317
11,107900,37,2,38,1,272
11,107900,13,6,8,6,255
11,107900,19,8,26,4,255
11,107900,31,6,0,0,243
11,107900,31,5,32,5,235
11,107900,13,6,32,5,232
11,107900,37,3,38,3,221
11,107900,10,5,26,5,218
11,107900,19,7,26,3,211
11,107900,37,1,32,5,207
11,107900,19,6,26,3,205
11,107900,37,3,63,2,196
11,107900,37,1,63,2,193
11,107900,13,4,26,4,192
11,107900,37,1,8,6,192
11,107900,31,4,26,5,191
11,107900,37,1,38,2,186
11,107900,37,1,63,1,184
11,107900,13,5,32,4,184
11,107900,37,5,38,5,176
11,107900,19,8,26,6,173
11,107900,37,3,38,2,155
11,107900,31,6,32,5,154
11,107900,37,1,8,5,143
11,107900,37,5,63,3,141
11,107900,13,7,26,5,141
11,107900,31,6,8,6,139
11,107900,19,6,26,5,136
11,107900,31,5,32,4,134
11,107900,10,5,26,4,134
11,107900,13,5,8,5,133
11,107900,37,3,26,6,133
11,107900,37,2,63,1,132
11,107900,13,5,32,5,132
11,107900,13,5,8,6,130
11,107900,31,6,32,6,124
11,107900,37,6,38,5,122
11,107900,13,6,8,5,122
11,107900,37,3,26,7,120
11,107900,31,5,63,2,117
11,107900,37,5,0,0,115
11,107900,13,5,26,3,113
11,107900,37,5,38,4,112
11,107900,37,1,32,4,111
11,107900,13,7,26,6,102
11,107900,31,4,26,3,94
11,107900,31,6,26,4,94
11,107900,37,2,32,5,93
11,107900,31,9,0,0,89
11,107900,31,6,63,2,88
11,107900,13,5,26,6,88
11,107900,13,4,26,3,85
11,107900,37,3,26,5,81
11,107900,19,8,32,4,80
11,107900,13,4,26,5,79
11,107900,31,8,0,0,79
11,107900,31,5,8,6,78
11,107900,10,4,26,5,77
11,107900,19,9,26,6,76
11,107900,10,4,32,4,76
11,107900,31,6,38,2,75
11,107900,31,5,26,3,73
11,107900,31,7,26,6,73
11,107900,10,6,26,5,72
11,107900,10,4,26,4,72
11,107900,37,4,38,3,71
11,107900,37,2,32,6,69
11,107900,10,6,26,6,68
11,107900,31,4,32,4,66
11,107900,31,5,63,1,66
11,107900,19,7,32,4,65
11,107900,19,8,38,3,64
11,107900,31,8,63,4,62
11,107900,13,6,38,1,59
11,107900,31,6,63,1,57
11,107900,13,6,32,4,56
11,107900,37,1,32,6,56
11,107900,13,6,63,1,55
11,107900,19,8,32,5,53
11,107900,19,7,26,6,52
11,107900,13,6,63,2,51
11,107900,13,6,38,2,50
11,107900,31,5,32,6,50
11,107900,19,7,32,5,50
11,107900,31,7,0,0,49
11,107900,13,5,63,1,48
11,107900,13,7,32,6,48
11,107900,37,2,26,3,48
11,107900,31,7,63,2,46
11,107900,31,7,26,7,46
11,107900,31,6,38,1,46
11,107900,37,6,38,6,46
11,107900,31,5,38,1,45
11,107900,31,7,63,3,45
11,107900,31,4,32,5,44
11,107900,31,5,8,5,44
11,107900,19,7,8,5,44
11,107900,19,9,26,5,40
11,107900,31,10,0,0,39
11,107900,10,5,32,5,38
11,107900,31,7,32,7,38
11,107900,37,2,26,7,38
11,107900,19,5,26,4,37
11,107900,37,8,0,0,37
11,107900,13,6,26,3,36
11,107900,13,5,38,1,36
11,107900,37,3,63,4,36
11,107900,10,5,26,6,35
11,107900,37,3,8,6,34
11,107900,19,8,8,6,33
11,107900,13,5,32,3,32
11,107900,10,5,8,6,32
11,107900,19,8,32,6,32
11,107900,19,5,26,3,31
11,107900,19,8,26,3,31
11,107900,37,1,26,2,31
11,107900,13,7,8,6,31
11,107900,13,7,26,7,30
11,107900,13,5,8,4,30
11,107900,64,5,0,0,30
11,107900,31,9,63,5,30
11,107900,19,7,8,6,30
11,107900,31,7,32,6,29
11,107900,13,7,63,2,29
11,107900,37,4,26,8,28
11,107900,37,2,32,4,28
11,107900,37,4,26,7,28
11,107900,31,8,63,3,28
11,107900,31,10,26,10,28
11,107900,13,4,32,4,27
11,107900,10,5,26,3,27
11,107900,31,9,26,9,26
11,107900,31,5,38,2,26
11,107900,37,1,8,4,26
11,107900,37,2,8,5,26
11,107900,19,6,26,2,25
11,107900,13,7,8,7,25
11,107900,13,5,32,6,24
11,107900,31,11,0,0,24
11,107900,37,1,32,3,24
11,107900,37,2,0,0,24
11,107900,31,7,38,3,24
11,107900,31,3,26,3,22
11,107900,19,7,38,1,22
11,107900,13,7,38,2,21
11,107900,31,6,32,4,21
11,107900,37,2,38,3,20
11,107900,37,2,63,3,20
11,107900,31,4,32,3,19
11,107900,10,5,63,1,19
11,107900,31,3,26,4,19
11,107900,10,11,0,0,19
11,107900,37,2,32,7,19
11,107900,13,7,32,5,18
11,107900,31,6,26,7,18
11,107900,31,7,38,2,18
11,107900,10,6,32,6,18
11,107900,31,8,26,8,18
11,107900,37,4,0,0,18
11,107900,31,7,63,4,17
11,107900,64,5,63,5,17
11,107900,37,5,63,6,17
11,107900,13,4,8,5,17
11,107900,31,9,38,5,17
11,107900,37,2,8,7,17
11,107900,10,4,26,3,17
11,107900,31,9,26,8,16
11,107900,13,7,63,1,15
11,107900,10,4,26,6,15
11,107900,31,5,32,3,15
11,107900,31,6,8,7,15
11,107900,31,6,32,7,15
11,107900,10,6,32,5,15
11,107900,13,6,8,7,15
11,107900,13,6,20,8,15
11,107900,31,9,63,4,15
11,107900,19,7,8,4,15
11,107900,37,1,8,7,15
11,107900,13,4,8,4,15
11,107900,31,4,63,1,14
11,107900,19,8,38,2,14
11,107900,10,6,63,1,14
11,107900,37,7,63,7,14
11,107900,31,8,38,4,14
11,107900,37,3,32,7,14
11,107900,19,6,32,4,13
11,107900,10,5,8,5,13
11,107900,19,6,32,3,13
11,107900,13,4,32,3,13
11,107900,31,4,8,5,13
11,107900,13,4,32,5,13
11,107900,31,5,8,4,13
11,107900,19,5,26,5,13
11,107900,19,8,38,1,13
11,107900,10,4,32,5,13
11,107900,37,3,32,6,13
11,107900,13,4,26,2,13
11,107900,19,6,32,5,13
11,107900,64,4,63,4,12
11,107900,31,4,26,6,12
11,107900,31,6,8,5,12
11,107900,10,3,26,4,12
11,107900,31,10,38,5,12
11,107900,19,7,63,1,12
11,107900,31,8,26,7,12
11,107900,19,9,32,6,11
11,107900,64,1,26,5,11
11,107900,10,6,28,8,11
11,107900,13,5,38,2,11
11,107900,37,4,63,2,11
11,107900,37,4,32,8,11
11,107900,31,3,26,5,11
11,107900,31,11,63,6,11
11,107900,31,4,26,2,11
11,107900,13,6,8,4,11
11,107900,37,5,26,9,11
11,107900,10,5,38,1,11
11,107900,37,5,32,8,11
11,107900,31,9,32,9,10
11,107900,19,8,63,2,10
11,107900,13,7,0,0,10
11,107900,37,7,38,7,10
11,107900,31,4,8,6,10
11,107900,10,6,26,4,10
11,107900,31,6,38,3,9
11,107900,19,7,38,2,9
11,107900,10,5,32,6,9
11,107900,19,7,26,2,9
11,107900,64,5,38,6,9
11,107900,19,9,63,5,9
11,107900,37,5,32,9,9
11,107900,37,7,38,6,9
11,107900,13,9,38,4,9
11,107900,43,8,26,6,9
11,107900,13,6,28,8,9
11,107900,37,4,32,7,9
11,107900,31,5,26,2,9
11,107900,31,9,63,3,9
11,107900,19,8,0,0,9
11,107900,10,6,63,2,9
11,107900,10,6,8,6,9
11,107900,37,3,63,1,8
11,107900,10,4,8,5,8
11,107900,37,6,63,4,8
11,107900,13,3,26,3,8
11,107900,19,8,8,5,8
11,107900,31,3,32,4,8
11,107900,19,12,26,8,8
11,107900,19,8,63,1,8
11,107900,19,6,26,6,8
11,107900,19,9,26,7,8
11,107900,10,5,32,4,8
11,107900,13,7,38,1,8
11,107900,31,4,38,1,8
11,107900,10,6,38,1,8
11,107900,37,4,26,9,8
11,107900,19,9,0,0,8
11,107900,19,6,8,4,8
11,107900,10,5,63,2,8
11,107900,37,3,26,8,7
11,107900,10,5,38,2,7
11,107900,10,5,8,4,7
11,107900,13,5,26,1,7
11,107900,19,7,32,3,7
11,107900,31,8,32,8,7
11,107900,13,5,26,2,7
11,107900,13,4,38,1,7
11,107900,64,5,63,6,7
11,107900,37,1,26,1,7
11,107900,10,7,26,8,7
11,107900,37,3,0,0,7
